"ID","Metadata","Localized Name"
"actuallyadditions:blockAtomicReconstructor","0","Atomic Reconstructor"
"actuallyadditions:blockBioReactor","0","Bio Reactor"
"actuallyadditions:blockBlackLotus","0","Black Lotus"
"actuallyadditions:blockBreaker","0","Auto-Breaker"
"actuallyadditions:blockCanola","0","Canola Plant"
"actuallyadditions:blockCanolaOil","0","Canola Oil"
"actuallyadditions:blockCanolaPress","0","Canola Press"
"actuallyadditions:blockChiseledQuartzSlab","0","Chiseled Black Quartz Slab"
"actuallyadditions:blockChiseledQuartzStair","0","Chiseled Black Quartz Stairs"
"actuallyadditions:blockChiseledQuartzWall","0","Chiseled Black Quartz Wall"
"actuallyadditions:blockCoalGenerator","0","Coal Generator"
"actuallyadditions:blockCoffee","0","Coffee Plant"
"actuallyadditions:blockCoffeeMachine","0","Coffee Maker"
"actuallyadditions:blockColoredLamp","0","White Lamp"
"actuallyadditions:blockColoredLamp","1","Orange Lamp"
"actuallyadditions:blockColoredLamp","2","Magenta Lamp"
"actuallyadditions:blockColoredLamp","3","Light Blue Lamp"
"actuallyadditions:blockColoredLamp","4","Yellow Lamp"
"actuallyadditions:blockColoredLamp","5","Lime Lamp"
"actuallyadditions:blockColoredLamp","6","Pink Lamp"
"actuallyadditions:blockColoredLamp","7","Gray Lamp"
"actuallyadditions:blockColoredLamp","8","Light Gray Lamp"
"actuallyadditions:blockColoredLamp","9","Cyan Lamp"
"actuallyadditions:blockColoredLamp","10","Purple Lamp"
"actuallyadditions:blockColoredLamp","11","Blue Lamp"
"actuallyadditions:blockColoredLamp","12","Brown Lamp"
"actuallyadditions:blockColoredLamp","13","Green Lamp"
"actuallyadditions:blockColoredLamp","14","Red Lamp"
"actuallyadditions:blockColoredLamp","15","Black Lamp"
"actuallyadditions:blockColoredLampOn","0","White Lamp (On)"
"actuallyadditions:blockColoredLampOn","1","Orange Lamp (On)"
"actuallyadditions:blockColoredLampOn","2","Magenta Lamp (On)"
"actuallyadditions:blockColoredLampOn","3","Light Blue Lamp (On)"
"actuallyadditions:blockColoredLampOn","4","Yellow Lamp (On)"
"actuallyadditions:blockColoredLampOn","5","Lime Lamp (On)"
"actuallyadditions:blockColoredLampOn","6","Pink Lamp (On)"
"actuallyadditions:blockColoredLampOn","7","Gray Lamp (On)"
"actuallyadditions:blockColoredLampOn","8","Light Gray Lamp (On)"
"actuallyadditions:blockColoredLampOn","9","Cyan Lamp (On)"
"actuallyadditions:blockColoredLampOn","10","Purple Lamp (On)"
"actuallyadditions:blockColoredLampOn","11","Blue Lamp (On)"
"actuallyadditions:blockColoredLampOn","12","Brown Lamp (On)"
"actuallyadditions:blockColoredLampOn","13","Green Lamp (On)"
"actuallyadditions:blockColoredLampOn","14","Red Lamp (On)"
"actuallyadditions:blockColoredLampOn","15","Black Lamp (On)"
"actuallyadditions:blockCompost","0","Compost"
"actuallyadditions:blockCrystal","0","Restonia Crystal Block"
"actuallyadditions:blockCrystal","1","Palis Crystal Block"
"actuallyadditions:blockCrystal","2","Diamatine Crystal Block"
"actuallyadditions:blockCrystal","3","Void Crystal Block"
"actuallyadditions:blockCrystal","4","Emeradic Crystal Block"
"actuallyadditions:blockCrystal","5","Enori Crystal Block"
"actuallyadditions:blockCrystalEmpowered","0","Empowered Restonia Crystal Block"
"actuallyadditions:blockCrystalEmpowered","1","Empowered Palis Crystal Block"
"actuallyadditions:blockCrystalEmpowered","2","Empowered Diamatine Crystal Block"
"actuallyadditions:blockCrystalEmpowered","3","Empowered Void Crystal Block"
"actuallyadditions:blockCrystalEmpowered","4","Empowered Emeradic Crystal Block"
"actuallyadditions:blockCrystalEmpowered","5","Empowered Enori Crystal Block"
"actuallyadditions:blockCrystalOil","0","Crystallized Oil"
"actuallyadditions:blockDirectionalBreaker","0","Long-Range Breaker"
"actuallyadditions:blockDisplayStand","0","Display Stand"
"actuallyadditions:blockDropper","0","Automatic Precision Dropper"
"actuallyadditions:blockEmpoweredOil","0","Empowered Oil"
"actuallyadditions:blockEmpowerer","0","Empowerer"
"actuallyadditions:blockEnergizer","0","Energizer"
"actuallyadditions:blockEnervator","0","Enervator"
"actuallyadditions:blockFarmer","0","Farmer"
"actuallyadditions:blockFeeder","0","Automatic Feeder"
"actuallyadditions:blockFermentingBarrel","0","Fermenting Barrel"
"actuallyadditions:blockFireworkBox","0","Firework Box"
"actuallyadditions:blockFishingNet","0","Fishing Net"
"actuallyadditions:blockFlax","0","Flax Plant"
"actuallyadditions:blockFluidCollector","0","Fluid Collector"
"actuallyadditions:blockFluidPlacer","0","Fluid Placer"
"actuallyadditions:blockFurnaceDouble","0","Powered Furnace"
"actuallyadditions:blockFurnaceSolar","0","Solar Panel"
"actuallyadditions:blockGiantChest","0","Small Storage Crate"
"actuallyadditions:blockGiantChestLarge","0","Large Storage Crate"
"actuallyadditions:blockGiantChestMedium","0","Medium Storage Crate"
"actuallyadditions:blockGreenhouseGlass","0","Greenhouse Glass"
"actuallyadditions:blockGrinder","0","Crusher"
"actuallyadditions:blockGrinderDouble","0","Double Crusher"
"actuallyadditions:blockHeatCollector","0","Heat Collector"
"actuallyadditions:blockInputter","0","ESD (Experienced Sauce Deriver)"
"actuallyadditions:blockInputterAdvanced","0","Advanced ESD (Extraordinary Sample Deliverer)"
"actuallyadditions:blockItemRepairer","0","Item Repairer"
"actuallyadditions:blockItemViewer","0","Item Interface"
"actuallyadditions:blockLampPowerer","0","Lamp Controller"
"actuallyadditions:blockLaserRelay","0","Energy Laser Relay"
"actuallyadditions:blockLaserRelayAdvanced","0","Advanced Energy Laser Relay"
"actuallyadditions:blockLaserRelayExtreme","0","Extreme Energy Laser Relay"
"actuallyadditions:blockLaserRelayFluids","0","Fluid Laser Relay"
"actuallyadditions:blockLaserRelayItem","0","Item Laser Relay"
"actuallyadditions:blockLaserRelayItemWhitelist","0","Advanced Item Laser Relay"
"actuallyadditions:blockLavaFactoryController","0","Lava Factory Controller"
"actuallyadditions:blockLeafGenerator","0","Leaf-Eating Generator"
"actuallyadditions:blockMiner","0","Vertical Digger"
"actuallyadditions:blockMisc","0","Pillar of Black Quartz"
"actuallyadditions:blockMisc","1","Chiseled Block of Black Quartz"
"actuallyadditions:blockMisc","2","Block of Black Quartz"
"actuallyadditions:blockMisc","3","Black Quartz Ore"
"actuallyadditions:blockMisc","4","Wood Casing"
"actuallyadditions:blockMisc","5","Block of Charcoal"
"actuallyadditions:blockMisc","6","Block of Enderpearl"
"actuallyadditions:blockMisc","7","Casing"
"actuallyadditions:blockMisc","8","Ender Casing"
"actuallyadditions:blockMisc","9","Iron Casing"
"actuallyadditions:blockOil","0","Oil"
"actuallyadditions:blockOilGenerator","0","Oil Generator"
"actuallyadditions:blockPhantomBooster","0","Phantom Booster"
"actuallyadditions:blockPhantomBreaker","0","Phantom Breaker"
"actuallyadditions:blockPhantomEnergyface","0","Phantom Energyface"
"actuallyadditions:blockPhantomLiquiface","0","Phantom Liquiface"
"actuallyadditions:blockPhantomPlacer","0","Phantom Placer"
"actuallyadditions:blockPhantomRedstoneface","0","Phantom Redstoneface"
"actuallyadditions:blockPhantomface","0","Phantomface"
"actuallyadditions:blockPillarQuartzSlab","0","Black Quartz Pillar Slab"
"actuallyadditions:blockPillarQuartzStair","0","Black Quartz Pillar Stairs"
"actuallyadditions:blockPillarQuartzWall","0","Black Quartz Pillar Wall"
"actuallyadditions:blockPlacer","0","Auto-Placer"
"actuallyadditions:blockPlayerInterface","0","Player Interface"
"actuallyadditions:blockQuartzSlab","0","Black Quartz Slab"
"actuallyadditions:blockQuartzStair","0","Black Quartz Stairs"
"actuallyadditions:blockQuartzWall","0","Black Quartz Wall"
"actuallyadditions:blockRangedCollector","0","Ranged Collector"
"actuallyadditions:blockRice","0","Rice Plant"
"actuallyadditions:blockShockSuppressor","0","Shock Absorber"
"actuallyadditions:blockSmileyCloud","0","Smiley Cloud"
"actuallyadditions:blockTestifiBucksGreenFence","0","Ethetic Green Wall"
"actuallyadditions:blockTestifiBucksGreenSlab","0","Ethetic Green Slab"
"actuallyadditions:blockTestifiBucksGreenStairs","0","Ethetic Green Stairs"
"actuallyadditions:blockTestifiBucksGreenWall","0","Ethetic Green Block"
"actuallyadditions:blockTestifiBucksWhiteFence","0","Ethetic Quartz Wall"
"actuallyadditions:blockTestifiBucksWhiteSlab","0","Ethetic Quartz Slab"
"actuallyadditions:blockTestifiBucksWhiteStairs","0","Ethetic Quartz Stairs"
"actuallyadditions:blockTestifiBucksWhiteWall","0","Ethetic Quartz"
"actuallyadditions:blockTinyTorch","0","Tiny Torch"
"actuallyadditions:blockTreasureChest","0","Treasure Chest"
"actuallyadditions:blockWild","0","Wild Canola"
"actuallyadditions:blockWild","1","Wild Flax"
"actuallyadditions:blockWild","2","Wild Rice"
"actuallyadditions:blockWild","3","Wild Coffee"
"actuallyadditions:blockXPSolidifier","0","Experience Solidifier"
"actuallyadditions:diamondPaxel","0","Diamond AIOT"
